# BRANCH-ARCHIVE-SNAPSHOT-2026-09-15
# DO NOT MERGE THIS ARCHIVE BRANCH INTO main
# canonical_main=bb6f4639fbf1098f131e579dedbb610e0e7c7d97
# branch_count_before=288
# historical_branch_count=287
# unique_historical_tip_count=223
# open_pull_requests=0
# Each historical tip is retained as an ancestor of the archive snapshot DAG.
branch	sha	protected
audit/production-closure-001	4698798cee50e228d3e5e4befa713fe5b3f17a67	false
diagnostic/prod-ops-pint-001	bf41b7cacf43884e7e4beff29c4e6b0eb411f564	false
docs-consolidation-2026-09-05	9b623d08eeec289bdde5bb0d515fad5e673d03ab	false
docs/auth-recovery-ui-accepted-sync-001	052136f7bee4d4b0fc788e3a27b18663ba4ca2d0	false
docs/current-project-status-001	7a84f5e32752efdd7955ceecc02daec0f91f6a7a	false
docs/organization-settings-ui-accepted-sync-001	bb1da306cdb8ddd691f3b114a06092a13e3c885f	false
hardening/go-live-evidence-gate-001	162b78c51359af8d78b60a7261bd7cab438fe717	false
hardening/operational-alerting-001	3082f9edfdaddcb310ba90f079ef6c457154d994	false
hardening/operational-alerting-002	1e524a43f2c98b1d954ff2b0db806e0a6b523472	false
hardening/production-deploy-preflight-001	451ae9f9648faa0337f23143a3406803fddfee9b	false
hardening/production-environment-preflight-001	3663fe17e26f75507311fb4b174ac445ad900ad3	false
hardening/production-ops-smoke-001	20261d2b15b709787a7fcca0c1a898599fbe3e42	false
hardening/production-ops-smoke-002	984d0f1bcd49d86f342097688eba8a44ea053685	false
hardening/production-readiness-runtime-001	402fb7eb13278119ebb2ec37090297aaf978856d	false
hardening/production-target-preflight-001	d1720618853098160d23d2e330c4a94be1467b22	false
hardening/reconciliation-evidence-smoke-001	0cff2ac4661d84a99ef859e2c403051b122b7b18	false
hardening/retention-executor-001	0b10d222407695be32a544987e6496cdc16554be	false
hardening/retention-executor-closure-finalize-001	4c713b05b88fd9e56d8b4a76fe69bde93080ff77	false
helper-db-mig-002-central-gate-v2	139709f0229aa456c0e9b10b232c110cf6922a3d	false
main	bb6f4639fbf1098f131e579dedbb610e0e7c7d97	false
productization/auth-recovery-ui-001	d6b2089903ac830581b8606914cd484f1207dee2	false
productization/organization-settings-ui-001	4006607dd2aecdc6fabb97a34ba5edf40d07729b	false
productization/sample-regulation-pricing-001	275e9dc47c5b507d49b96cf4ce79205b0ec78d49	false
repo-hygiene/main-only-001	84c988925744f41c1739568ec610656c54c9710d	false
repo-hygiene/main-promotion-001	327a61265d38f3f3b0e46337a874673b080b0a87	false
tmp-actions-runner-diagnostic-20260912	afe54f203a411035f0f4b0ce8c5aa456de987240	false
tmp-core-v1-calendar-pint-probe-20260911	e335e6dda1a2597a123876e195abb7c47d735ff0	false
tmp-core-v1-calendar-training-hour-ledger-001-20260911	434ebe4301e7b1478bf6d09f53609aab80920bf7	false
tmp-core-v1-closure-audit-001-20260913	19f16f9d6107a5b072d388663885578d2d956ef9	false
tmp-core-v1-dashboard-commerce-1-expand-migrations-20260912	7bc4e6bb02bded5df80e82dc64dc05a5a1cca972	false
tmp-core-v1-dashboard-commerce-2-purchase-history-runtime-20260912	7627c4b8efb3f43692109f7989117db2c3ef716b	false
tmp-core-v1-dashboard-commerce-3-activity-notifications-runtime-20260912	1028c23a990cdbec2ef40f622abca4346c1726e5	false
tmp-core-v1-dashboard-commerce-4-dashboard-runtime-20260912	fc9a7feaa3960c8e5b60a64bbc8dbd937d9b8bd7	false
tmp-core-v1-dashboard-commerce-5-dashboard-purchase-ui-20260912	678c3056bc877c5a3c41779fd677f356092da116	false
tmp-core-v1-dashboard-commerce-5-dashboard-ui-20260912	123e0c31cb358dd6b0d4bf378f03388b94f45362	false
tmp-core-v1-dashboard-commerce-6-purchase-history-ui-20260912	4cc527636097dfa0751d1651c2866b732db3800d	false
tmp-core-v1-dashboard-commerce-central-closure-20260912	b72cbf3af3f4a096daf7bba73d1f0a636daffd3d	false
tmp-core-v1-dashboard-commerce-closure-machine-20260912	81af9433928f5fcd09df19bebddeeb802f64cefd	false
tmp-core-v1-dashboard-commerce-closure-narrative-20260912	9d2aff6ba9d334e655ebc6fa1268ed1bc47d9968	false
tmp-core-v1-internal-exams-4b-20260911	043d23f8b80e4754b360d348117fba4114e0c85b	false
tmp-core-v1-internal-exams-4c-20260911	1db43c9f6169a2762528223d03108d47832c0d57	false
tmp-core-v1-internal-exams-4d-20260911	0addb76f45fd42beff680ec37661113464e49f96	false
tmp-core-v1-internal-exams-5a-20260911	e0f8d550d1b90fa4299306161a29aa782dafc577	false
tmp-core-v1-internal-exams-5b-20260911	0c734a1c69f5c9f5d1b067ba0ee4613bff6282ac	false
tmp-core-v1-internal-exams-5c-20260911	635d536cdcd2929e40169d0d36a5b21333f98698	false
tmp-core-v1-internal-exams-5d-20260912	220efce5e7e1de8761cf0f20e8be07f9a78a62d9	false
tmp-core-v1-internal-exams-5e-20260912	aad38585cc8725bbc5c543f0e960718d40874700	false
tmp-core-v1-internal-exams-5f-ui-20260912	a519aa651b972b57e78daadae94966c2197d5142	false
tmp-core-v1-internal-exams-5g-gitleaks-repair-20260912	19f6d418ecf6f98ce45ea8ffba33000312960080	false
tmp-core-v1-internal-exams-5g-student-ui-20260912	ec79bbb9bf09e0c624c9580a3dddaeba12046a5d	false
tmp-core-v1-internal-exams-5h-email-delivery-20260912	0dfa18a311b3f1dfe17fb055b2a7305148590512	false
tmp-core-v1-internal-exams-5i-email-retry-20260912	3eaac5395d7e01b566e0d9a99f194ec724ad6a92	false
tmp-core-v1-internal-exams-5j-delivery-crash-recovery-20260912	e9e21b77fe88b990ab4e734637313b86e65fb877	false
tmp-core-v1-internal-exams-5k-persistent-student-handoff-20260912	162c975cee3a94bb0c15934703a58315f866b14c	false
tmp-core-v1-internal-exams-closure-20260912	a96897e5da94614e3fcd7004ab33c33692b53475	false
tmp-core-v1-internal-exams-final-closure-validation-20260912	afe54f203a411035f0f4b0ce8c5aa456de987240	false
tmp-core-v1-internal-exams-narrative-base-20260912	848ba0ac98df27c261ddfeb688d3e1bbaffa4e3c	false
